´ë¿©¼Ò_ID,nearest_subway_dist_m,nearest_bus_dist_m
ST-3274,480.65,86.45
ST-3273,776.83,30.3
ST-3272,234.0,120.06
ST-3271,373.66,233.55
ST-3270,925.2,77.59
ST-327,491.96,111.28
ST-3269,521.51,80.01
ST-3268,36.13,35.86
ST-3267,33.24,55.44
ST-3266,525.91,62.29
ST-3265,606.99,108.84
ST-3264,1360.64,11.95
ST-3263,765.75,80.09
ST-3262,672.2,42.96
ST-3261,270.69,223.87
ST-3260,592.9,148.54
ST-326,376.08,31.88
ST-3259,457.91,204.01
ST-3258,231.36,31.75
ST-3257,2575.87,160.1
ST-3256,118.97,68.08
ST-3255,309.38,38.13
ST-3254,693.96,16.56
ST-3253,55.83,113.28
ST-3252,828.37,30.69
ST-3251,567.33,182.25
ST-3250,971.68,26.45
ST-325,267.15,237.28
ST-3249,239.34,57.56
ST-3248,483.15,127.54
ST-3247,1004.67,69.48
ST-3246,809.16,74.6
ST-3245,564.81,45.67
ST-3244,599.58,124.12
ST-3243,661.27,149.91
ST-3242,100.49,16.92
ST-3241,334.72,41.49
ST-3240,531.33,36.74
ST-324,174.34,29.91
ST-3239,277.09,150.72
ST-3238,401.24,77.56
ST-3237,655.74,71.51
ST-3236,754.42,87.32
ST-3235,359.05,129.77
ST-3234,386.42,18.42
ST-3233,975.8,181.4
ST-3232,490.92,93.89
ST-3231,634.99,33.55
ST-3230,309.36,42.5
ST-323,219.24,182.42
ST-3229,713.12,76.1
ST-3228,61.52,45.1
ST-3227,501.26,393.62
ST-3226,350.26,29.71
ST-3225,628.09,217.31
ST-3224,1389.92,42.12
ST-3223,35.94,43.01
ST-3222,677.9,122.38
ST-3221,614.58,206.89
ST-3220,866.7,40.25
ST-322,914.05,21.41
ST-3219,872.7,119.77
ST-3218,441.2,69.19
ST-3217,1144.62,57.27
ST-3216,1655.95,10.74
ST-3215,951.95,222.25
ST-3214,417.19,114.94
ST-3213,294.1,183.26
ST-3212,252.83,117.1
ST-3211,305.68,66.06
ST-3210,376.4,113.25
ST-321,1311.06,45.92
ST-3209,658.44,27.85
ST-3208,477.49,277.46
ST-3207,295.95,34.45
ST-3206,208.28,215.58
ST-3205,124.82,59.01
ST-3204,200.8,210.48
ST-3203,512.84,93.63
ST-3202,438.69,19.43
ST-3201,1099.42,360.16
ST-3200,676.1,39.97
ST-320,1320.95,37.64
ST-32,59.18,46.55
ST-3199,440.45,38.4
ST-3198,234.38,163.32
ST-3197,1303.26,54.77
ST-3196,332.44,105.95
ST-3195,396.62,89.58
ST-3194,723.92,8.35
ST-3193,223.64,199.1
ST-3192,806.41,41.1
ST-3191,1050.28,60.59
ST-3190,897.73,33.26
ST-319,1334.57,52.95
ST-3189,107.79,64.81
ST-3188,233.94,87.24
ST-3187,121.88,36.87
ST-3186,136.12,63.11
ST-3185,117.55,96.24
ST-3184,267.39,81.05
ST-3183,376.8,203.83
ST-3182,564.04,61.79
ST-3181,904.25,67.2
ST-3180,888.36,55.46
ST-318,514.72,480.16
ST-3179,644.02,26.94
ST-3178,107.18,158.13
ST-3177,515.72,69.03
ST-3176,496.57,41.08
ST-3175,308.27,74.05
ST-3174,421.98,170.14
ST-3173,373.97,152.99
ST-3172,191.44,55.18
ST-3171,430.08,75.28
ST-3170,195.17,32.5
ST-317,1385.62,39.67
ST-3169,1134.13,35.22
ST-3168,458.43,277.83
ST-3167,369.21,69.63
ST-3166,487.32,25.33
ST-3165,282.15,159.54
ST-3164,384.83,50.25
ST-3163,101.39,31.82
ST-3162,410.94,41.81
ST-3161,303.61,104.96
ST-3160,287.06,42.3
ST-316,1376.55,101.22
ST-3159,203.21,68.7
ST-3158,404.44,155.51
ST-3157,736.12,276.31
ST-3156,667.47,293.21
ST-3155,478.98,128.56
ST-3154,695.21,159.79
ST-3153,341.24,263.84
ST-3152,1095.55,49.99
ST-3151,209.51,158.48
ST-3150,364.77,68.6
ST-315,767.31,35.4
ST-3149,429.93,183.24
ST-3148,316.84,104.52
ST-3147,716.29,19.39
ST-3146,840.69,34.81
ST-3145,524.03,16.22
ST-3144,757.74,36.84
ST-3143,22.35,72.5
ST-3142,137.7,4.88
ST-3141,159.13,37.84
ST-3140,209.17,82.88
ST-314,573.35,8.93
ST-3139,1370.36,33.56
ST-3138,206.24,202.92
ST-3137,354.48,55.55
ST-3136,311.68,122.2
ST-3135,310.88,78.58
ST-3134,71.16,15.66
ST-3133,528.65,201.04
ST-3132,70.48,10.85
ST-3131,568.36,114.18
ST-3130,436.17,164.75
ST-313,225.21,21.1
ST-3129,427.74,102.14
ST-3128,624.89,109.45
ST-3127,954.76,12.16
ST-3126,652.58,66.77
ST-3125,42.1,186.91
ST-3124,498.42,240.12
ST-3123,589.15,22.74
ST-3122,434.43,22.75
ST-3121,253.56,43.65
ST-3120,319.74,281.39
ST-312,311.99,78.13
ST-3119,705.36,129.86
